00後	línglínghòu
剝離	bōlí
剞劂	jījué
剠	qíng
剩下	shèngxià
剩兒	shèngr
剩	shèng
剩女	shèngnǚ
剩水殘山	shèng shuǐ cán shān
剩菜	shèngcài
剩飯	shèngfàn
剩餘價值	shèngyújiàzhí
剩餘	shèngyú
剩餘	shèngyú
剩餘應力	shèngyú yìnglì
剪刀	jiǎndāo
剪	jiǎn
剪子	jiǎnzi
剪彩	jiǎncǎi
剪影	jiǎnyǐng
剪接	jiǎnjiē
剪接	jiǎnjiē
剪斷	jiǎnduàn
剪紙	jiǎnzhǐ
剪草機	jiǎncǎojī
剪裁	jiǎncái
剪貼	jiǎntiē
剪貼	jiǎntiē
剪貼板	jiǎntiē bǎn
剪輯	jiǎnjí
剪輯	jiǎnjí
剪除	jiǎnchú
剪髮	jiǎn髮
剮	guǎ
副主席	fùzhǔxí
副交感神經	fùjiāogǎn shénjīng
副作用	fùzuòyòng
副刊	fùkān
副	bì
副	fù
副反應	fùfǎnyìng
副官	fùguān
副將	fùjiàng
副手	fùshǒu
副教授	fùjiàoshòu
副本	fùběn
副業	fùyè
副歌	fùgē
副流感	fùliúgǎn
副總統	fùzǒngtǒng
副總裁	fùzǒngcái
副腎	fùshèn
副詞	fùcí
副部長	fùbùzhǎng
副食	fùshí
副駕駛	fùjiàshǐ
副駕駛員	fùjiàshǐyuán
副高	fùgāo
副鼻腔	fùbíqiāng
副鼻腔炎	fùbíqiāngyán
割傷	gēshāng
割傷	gēshāng
割	gē
割包	gēbāo,guàbāo
割包皮	gēbāopí
割包皮	gēbāopí
割愛	gē'ài
割捨	gēshě
割據	gējù
割斷	gēduàn
割禮	gēlǐ
割草	gēcǎo
割草機	gēcǎojī
割裂	gēliè
割讓	gēràng
割讓	gēràng
割除	gēchú
割雞	gējī
割雞焉用牛刀	gējī yān yòng niúdāo
剴切	kǎiqiè
剴	kǎi
創世	chuàngshì
創世紀	Chuàngshìjì
創世記	Chuàngshìjì
創作	chuàngzuò
創作	chuàngzuò
創作品	chuàngzuòpǐn
創作歌手	chuàngzuò gēshǒu
創傷	chuāngshāng,chuàngshāng
創傷後	chuāngshānghòu,chuàngshānghòu
創傷後心理壓力緊張症候群	chuāngshānghòu xīnlǐ yālì jǐnzhāng zhènghòuqún
創傷性	chuāngshāngxìng,chuàngshāngxìng
創傷性腦損傷	chuāngshāngxìng nǎosǔnshāng
創刊	chuàngkān
創	chuāng
創	chuàng
創利	chuànglì
創口	chuāngkǒu
創可貼	chuāngkětiē,chuàngkětiē
創始	chuàngshǐ
創建	chuàngjiàn
創意	chuàngyì
創意	chuàngyì
創意	chuàngyì
創新	chuàngxīn
創新	chuàngxīn
創業	chuàngyè
創業	chuàngyè
創業投資	chuàngyè tóuzī
創業者	chuàngyèzhě
創立	chuànglì
創立者	chuànglìzhě
創舉	chuàngjǔ
創見	chuàngjiàn
創設	chuàngshè
創辦人	chuàngbànrén
創辦	chuàngbàn
創造	chuàngzào
創造	chuàngzào
創造力	chuàngzàolì
創造性	chuàngzàoxìng
創造歷史	chuàngzào lìshǐ
創造者	chuàngzàozhě
創造論	chuàngzàolùn
剸	tuán
剺	lí
剽	剽
剽悍	剽hàn
剽掠	剽lüè
剽竊	剽qiè
剿	jiǎo,chāo
剿匪	jiǎofěi
剿戮	jiǎolù
剿捕	jiǎobǔ
剿滅	jiǎomiè
剿襲	chāoxí,jiǎoxí
剿除	jiǎochú
劃分	huàfēn
劃分	huàfēn
㓦劃	bāihua,bāihuai,bòhuà
劃	huà
劃撥	huàbō
劃時代	huà shídài
劃時代	huà shídài
劇中	jùzhōng
劇作家	jùzuòjiā
劇	jù,jí
劇團	jùtuán
劇場	jù場
劇增	jùzēng
劇情	jùqíng
劇本	jùběn
劇毒	jùdú
劇毒	jùdú
劇烈	jùliè
劇照	jùzhào
劇目	jùmù
劇種	jùzhǒng
劇終	jùzhōng
劇變	jùbiàn
劇透	jùtòu
劇院	jùyuàn
劇集	jùjí
劈刀	pīdāo
劈	pī,pǐ
劈叉	pǐchà,pīchā,pǐchā
劈柴	pǐchái
劈柴	pīchái
劈歷	pīlì
劈腿	pītuǐ
劈腿	pītuǐ
劈裂	pīliè
劈開	pīkāi
劉	liú
劉姥姥進大觀園	Liúlǎolǎo jìn dàguānyuán
劉宋	Liúsòng
劉寄奴	liújìnú
劉海兒	liúhǎir
劉海	liúhǎi
劊	劊
劊子手	劊zishǒu
劌	guì
劍俠	jiànxiá
劍	jiàn
劍客	jiànkè
劍履	jiànlǚ
劍拔弩張	jiàn bá nǔ zhāng
劍指	jiànzhǐ
劍擊	jiàn击
劍橋	Jiànqiáo
劍蘭	jiànlán
劍術	jiànshù
劍道	jiàndào
劍閣	Jiàngé
劍鞘	jiànqiào
劍魚	jiànyú
劍魚座	Jiànyúzuò
劍麻	jiànmá
劍齒虎	jiànchǐhǔ
劏	tāng
劏房	tāngfáng
劑	jì
劑量	jìliàng
劓	yì
劖	chán
劙	lí
力不從心	lì不cóngxīn
力主	lìzhǔ
力克	lìkè
力	lì
力圖	lìtú
力士	lìshì
力壯	lìzhuàng
力學	lìxué
力學	lìxué
力度	lìdù
力戰	lìzhàn
力所能及	lìsuǒnéngjí
力挺	lìtǐng
力挽狂瀾	lìwǎnkuánglán
力比多	lìbǐduō
力氣	lìqi
力求	lìqiú
力爭	lìzhēng
力矩	lìjǔ
力臂	lìbì
力薦	lìjiàn
力行	lìxíng
力量	lìliàng
功不可沒	gōngbùkěmò
功利主義	gōnglìzhǔyì
功利	gōnglì
功力	gōnglì
功	gōng
功勛	gōngxūn
功勞	gōngláo
功名	gōngmíng
功名富貴	gōngmíng fùguì
功夫	gōngfu
功夫片	gōngfupiàn
功底	gōngdǐ
功微德薄	gōng微débó
功德	gōngdé
功效	gōngxiào
功曹	gōngcáo
功業	gōngyè
功率	gōnglǜ
功用	gōngyòng
功績	gōng績
功能	gōngnéng
功能手機	gōngnéng shǒujī
功能機	gōngnéngjī
功能障礙	gōngnéng zhàng'ài
功臣	gōngchén
功虧一簣	gōngkuī一kuì
功課	gōngkè
加上	jiāshàng
加上	jiāshàng
加以	jiāyǐ
加以	jiāyǐ
加以	jiāyǐ
加侖	jiālún
加俸	jiāfèng
加倍	jiābèi
加值	jiāzhí
加價	jiājià
加入	jiārù
加冕	jiāmiǎn
加分	jiāfēn
加分	jiāfēn
加刑	jiāxíng
加利利	Jiālìlì
加利略	Jiālìlüè
加利福尼亞	Jiālìfúní亞
加利西亞	Jiālìxīyà
加利西亞語	Jiālìxī亚yǔ
加劇	jiājù
加	jiā
加勒比海	Jiālèbǐ Hǎi
加古川	Jiāgǔchuān
加哩	jiālǐ
加固	jiāgù
加國	Jiāguó
加塞兒	jiāsāir
加增	jiāzēng
加增	jiāzēng
加壓	jiāyā
加多	jiāduō
加大	jiādà
加害	jiāhài
加密	jiāmì
加州	Jiāzhōu
加工	jiāgōng
加工	jiāgōng
加工	jiāgōng
加工品	jiāgōngpǐn
加工廠	jiāgōngchǎng
加強	jiāqiáng
加彭	Jiāpéng
加影	Jiāyǐng
加德滿都	Jiādémǎndū
加快	jiākuài
加急	jiājí
加拉加斯	Jiālājiāsī
加拉太	Jiālātài
加拉太書	Jiālātàishū
加拿大人	Jiānádàrén
加拿大	Jiānádà
加持	jiāchí
加數	jiāshù
加格達奇	Jiāgédáqí
加權	jiāquán
加沙	Jiāshā
加沙地帶	Jiāshā dìdài
加沙走廊	Jiāshā Zǒuláng
加油	jiāyóu
加油	jiāyóu
加油站	jiāyóuzhàn
加法	jiāfǎ
加泰羅尼亞	Jiātàiluóní亚
加泰羅尼亞語	Jiātàiluóní亚yǔ
加泰隆尼亞	Jiātàilóngní亚
加深	jiāshēn
加添	jiātiān
加減乘除	jiājiǎn chéngchú
加減	jiājiǎn
加溫	jiāwēn
加熱	jiārè
加熱器	jiārèqì
加爾各答	Jiā'ěrgèdá
加班	jiābān
加班	jiābān
加甜	jiātián
加百列	Jiābǎiliè
加的夫	Jiādífū
加盟	jiāméng
加答兒	jiādá'ěr
加納	Jiānà
加緊	jiājǐn
加花	jiāhuā
加花	jiāhuā
加茂	Jiāmào
加菜	jiācài
加蒂諾	Jiādìnuò
加蓬	Jiāpéng
加薩	Jiāsà
加薪	jiāxīn
加薪	jiāxīn
加藤	Jiāténg
加裝	jiāzhuāng
加西	Jiāxī
加課	jiākè
加護	jiāhù
加護病房	jiāhù bìngfáng
加賀	Jiāhè
加載	jiā載
加農	jiānóng
加農炮	jiānóngpào
加速	jiāsù
加速器	jiāsùqì
加速度	jiāsùdù
加那利群島	Jiānàlì Qúndǎo
加里寧格勒	Jiālǐnínggélè
加里曼丹	Jiālǐmàndān
加里曼丹島	Jiālǐmàndān Dǎo
加里肋亞	Jiālǐlèiyà,Jiālǐlèyà,Jiālǐlèiyǎ,Jiālǐlèyǎ
加重	jiāzhòng
加長	jiācháng
加長轎車	jiācháng jiàochē
加鞭	jiābiān
加音	Jiāyīn
加須	Jiāxū
加餐	jiācān
加餐	jiācān
加點	jiādiǎn
劣	liè
劣勢	lièshì
劣幣驅逐良幣	liè bì qūzhú liáng bì
劣弟	lièdì
劣根性	liègēnxìng
劣種	lièzhǒng
劣等	lièděng
劣跡	liè跡
劦	liè
劦	xié
助人	zhùrén
助人為樂	zhù rén wéi lè
助劑	zhùjì
助力	zhùlì
助力	zhùlì
助	zhù
助動詞	zhùdòngcí
助威	zhùwēi
助學金	zhùxuéjīn
助惡	zhù'è
助戰	zhùzhàn
助手	zhùshǒu
助教	zhùjiào
助殘	zhùcán
助理	zhùlǐ
助理	zhùlǐ
助產	zhùchǎn
助產士	zhùchǎnshì
助益	zhùyì
助祭	zhùjì
助紂為虐	zhùzhòuwéinüè
助聽	zhùtīng
助聽器	zhùtīngqì
助興	zhùxìng
助詞	zhùcí
助長	zhùzhǎng
助陣	zhùzhèn
努克	Nǔkè
努力	nǔlì
努力	nǔlì
努力	nǔlì
努力	nǔlì
努	nǔ
努庫阿洛法	Nǔkù'āluòfǎ
努爾哈赤	Nǔ'ěrhāchì
努瓦克肖特	Nǔwǎkèxiàotè
努納武特	Nǔnàwǔtè
劫	jié
劫囚	jiéqiú
劫奪	jiéduó
劫寨	jiézhài
劫持	jiéchí
劫掠	jiélüè
劫機	jiéjī
劫營	jiéyíng
劫色	jiésè
劫遷	jiéqiān
劫難	jiénàn
劬勞	qúláo
劭	shào
劾	hé
勁健	勁jiàn
勁兒	勁r
勁	jìng
勁	勁
勁敵	jìngdí
勁旅	jìnglǜ
勁爆	jìngbào,jìnbào
勁頭	勁tóu
勃	bó
勃勃	bóbó
勃律	Bólǜ
勃朗峰	Bólǎng Fēng
勃然	bórán
勃然大怒	bórán dànù
勃發	bófā
勃興	bóxīng
勃艮第	Bógèndì
勃起	bóqǐ
勃起	bóqǐ
勇力	yǒnglì
勇	yǒng
勇士	yǒngshì
勇夫	yǒngfū
勇敢	yǒnggǎn
勇敢	yǒnggǎn
勇於	yǒngyú
勇武	yǒngwǔ
勇氣	yǒngqì
勇氣百倍	yǒngqì bǎibèi
勇烈	yǒngliè
勇猛	yǒngměng
勇略	yǒnglüè
勇者	yǒngzhě
勇而無謀	yǒng ér wú móu
勉力	miǎnlì
勉	miǎn
勉勵	miǎnlì
勉強	miǎnqiǎng,miǎnqiáng
勉強	miǎnqiǎng,miǎnqiáng
勉強	miǎnqiǎng,miǎnqiáng
勍	qíng
勒令	lèlìng
勒克斯	lèkèsī
勒克瑙	Lèkènǎo
勒兵	lèbīng
勒	lei
勒	lè,lēi
勒尤	lèyóu
勒拿河	Lèná Hé
勒沃庫森	Lèwòkùsēn
勒索	lèsuǒ
勒芒	Lèmáng
勒阿弗爾	Lè'āfú'ěr
勒馬	lèmǎ
動不動	dòng不dòng
動亂	dòngluàn
動亂	dòngluàn
動人	dòngrén
動作	dòngzuò
動作	dòngzuò
動作	dòngzuò
動作感應器	dòngzuò gǎnyìngqì
動作片	dòngzuòpiàn,dòngzuòpiān
動作電影	dòngzuò diànyǐng
動刀兵	dòng dāobīng
動刀	dòngdāo
動力	dònglì
動力學	dònglìxué
動力機	dònglìjī
動力煤	dònglìméi
動	dòng
動名詞	dòngmíngcí
動向	dòngxiàng
動員令	dòngyuánlìng
動員	dòngyuán
動問	dòngwèn
動圖	dòngtú
動土	dòngtǔ
動容	dòngróng
動工	dònggōng
動彈	dòngtán
動心	dòngxīn
動怒	dòngnù
動情	dòngqíng
動感	dònggǎn
動態	dòngtài
動手	dòngshǒu
動手動腳	dòngshǒudòngjiǎo
動手腳	dòngshǒujiǎo
動手術	dòngshǒushù
動搖	dòngyáo
動搖	dòngyáo
動植物	dòngzhíwù
動機	dòngjī
動次	dòngcì
動漫	dòngmàn
動物	dòngwù
動物園	dòngwùyuán
動物學	dòngwùxué
動物學家	dòngwùxuéjiā
動物崇拜	dòngwù chóngbài
動物恐懼症	dòngwù kǒngjùzhèng
動物權利	dòngwù quánlì
動物油	dòngwùyóu
動物界	dòngwùjiè
動物界	dòngwùjiè
動物纖維	dòngwù xiānwéi
動物解放	dòngwù jiěfàng
動產	dòngchǎn
動用	dòngyòng
動畫	dònghuà
動畫片	dònghuàpiàn,dònghuàpiān
動真格	dòng zhēngé
動窩兒	dòngwōr
動筆	dòngbǐ
動粗	dòngcū
動聽	dòngtīng
動能	dòngnéng
動脈	dòngmài
動脈瘤	dòngmàiliú
動脈硬化	dòngmài yìnghuà
動脈粥樣硬化	dòngmài zhōuyàng yìnghuà
動蕩	dòngdàng
動蕩	dòngdàng
動詞	dòngcí
動議	dòngyì
動身	dòngshēn
動車	dòngchē
動輒	dòngzhé
動量	dòngliàng
動靜	dòngjìng
勖	xù
勘	kān
勘定	kāndìng
勘察	kānchá
勘察	kānchá
勘探	kāntàn
勘探	kāntàn
勘查	kānchá
勘正	kānzhèng
勘測	kāncè
勘破	kānpò
勘誤	kānwù
勘誤表	kānwùbiǎo
務	wù
務實	wùshí
務實	wùshí
務工	wùgōng
務必	wùbì
務本	wùběn
務虛	wùxū
務請	wùqǐng
務農	wùnóng
勛	xūn
勛章	xūnzhāng
勛績	xūn績
勝仗	shèngzhàng
勝任	勝rèn
勝似	shèngsì
勝出	shèngchū
勝利者	shènglìzhě
勝利	shènglì
勝利	shènglì
勝利	shènglì
勝券	shèngquàn
勝地	shèngdì
勝山	Shèngshān
勝捷	shèngjié
勝敗	shèngbài
勝於	shèngyú
勝景	shèngjǐng
勝浦	Shèngpǔ
勝瓜	shèngguā
勝算	shèngsuàn
勝	shèng
勝	勝
勝訴	shèngsù
勝負	shèngfù
勝過	shèngguò
勝選	shèngxuǎn
勞作	láozuò
勞作	láozuò
勞保	láobǎo
勞倫斯	Láolúnsī
勞力	láolì
勞力	láolì
勞	láo
勞	勞
勞動人民	láodòngrénmín
勞動力	láodònglì
勞動	láodòng
勞動	láodong
勞動	láodòng
勞動密集	láodòng mìjí
勞動密集型	láodòng mìjíxíng
勞動對象	láodòng duìxiàng
勞動市場	láodòng shì场
勞動改造	láodòng gǎizào
勞動節	láodòngjié
勞動組合	láodòng zǔhé
勞動者	láodòngzhě
勞動階級	láodòng jiējí
勞勛	láoxūn
勞工	láogōng
勞工市場	láogōng shì场
勞役	láoyì
勞損	láosǔn
勞改	láogǎi
勞模	láomó
勞民傷財	láomínshāngcái
勞煩	láofán
勞燕分飛	láoyànfēnfēi
勞碌	láolù
勞神	láoshén
勞累	láolèi
勞累	láolèi
勞苦	láokǔ
勞苦	勞kǔ
勞資	láozī
勞資關係	láozī guānxi
勞軍	勞jūn
勞逸	láoyì
勞頓	láodùn
勞駕	láojià
募	mù
募化	mùhuà
募捐	mùjuān
募款	mùkuǎn
募股	mùgǔ
募資	mùzī
募集	mùjí
勠力	lùlì
勠	lù
勢不可當	shì 不kě dāng
勢利	shìlì
勢利	shìlì
勢利眼	shìliyǎn,shìlìyǎn
勢利眼	shìliyǎn,shìlìyǎn
勢力	shìlì
勢力範圍	shìlì fànwéi
勢	shì
勢均力敵	shìjūnlìdí
勢如奔馬	shì rú bēnmǎ
勢如破竹	shì rú pò zhú
勢必	shìbì
勢能	shìnéng
勢豪	shìháo
勢頭	shìtóu
勤儉	qínjiǎn
勤力	qínlì
勤勉	qínmiǎn
勤務	qínwù
勤勞	qínláo
勤奮	qínfèn
勤工儉學	qíngōngjiǎnxué
勤快	qínkuài
勤懇	qínkěn
勤於	qínyú
勩	yì
勰	xié
勱	mài
勵	lì
勵學會	lìxuéhuì
勵志	lìzhì
勸世	quànshì
勸	quàn
勸勉	quànmiǎn
勸告	quàngào
勸告	quàngào
勸和	quànhé
勸善	quànshàn
勸導	quàndǎo
勸慰	quànwèi
勸架	quànjià
勸止	quànzhǐ
勸解	quànjiě
勸誘	quànyòu
勸誡	quànjiè
勸說	quànshuō
勸諫	quànjiàn
勸退	quàntuì
勸酒	quànjiǔ
勸阻	quànzǔ
勺子	sháozi
勻	yún
勻稱	yún稱
勻速	yúnsù
勼	jiū
勾兌	gōuduì
勾勒	gōulè
勾引	gōuyǐn
勾搭	gōuda
勾欄	gōulán
勾畫	gōuhuà
勾當	gòudàng
勾當	gòudāng
勾結	gōujié
勾聯	gōulián
勾股	gōugǔ
勾股定理	gōugǔ dìnglǐ
勾芡	gōuqiàn
勾通	gōutōng
勾連	gōulián
勾銷	gōuxiāo
勾陳一	Gōuchén一
勾陳	Gōuchén
勿以善小而不為	wù yǐ shàn xiǎo ér bù wéi
勿以惡小而為之	wù yǐ è xiǎo ér wéi zhī
勿	mò
勿	wù
勿忘草	wùwàngcǎo
勿慮	wùlǜ
勿論	wùlùn
匁	wén
包乘	bāochéng
包乘組	bāochéngzǔ
包乾兒	bāogānr
包乾	bāogān
包乾	bāogān
包二奶	bāo èrnǎi
包公	Bāogōng
包公	Bāogōng
包	bāo
包包	bāobāo
包含	bāohán
包圍	bāowéi
包圍	bāowéi
包圍圈	bāowéiquān
包在……身上	bāozài...shēnshàng
包場	bāo场
包子	bāozi
包容	bāoróng
包工	bāogōng
包工頭	bāogōngtóu
包庇	bāobì,bāopì
包廂	bāoxiāng
包心菜	bāoxīncài
包房	bāofáng
包抄	bāochāo
包括	bāo括
包括	bāo括
包攬	bāolǎn
包攬詞訟	bāolǎn císòng
包機	bāojī
包機	bāojī
包治	bāozhì
包治百病	bāozhìbǎibìng
包涵	bāohán
包皮	bāopí
包皮垢	bāopígòu
包皮環切術	bāopí huánqiēshù
包穀	bāogǔ
包管	bāoguǎn
包米	bāomǐ
包粟	bāosù
包紮	bāozā,bāozhā
包絡	bāoluò
包絡	bāoluò
包羅	bāoluó
包羅萬象	bāoluó wànxiàng
包莖	bāojīng
包菜	bāocài
包藏	bāocáng
包藏禍心	bāocáng huòxīn
包衣	bāoyī
包衣	bāoyī
包袱	bāofu
包裝	bāozhuāng
包裝	bāozhuāng
包裝紙	bāozhuāngzhǐ
包裹	bāoguǒ
包裹	bāoguǒ
包辦代替	bāobàn dàitì
包辦	bāobàn
包辦婚姻	bāobàn hūnyīn
包辦替代	bāobàn tìdài
包郵	bāoyóu
包頭佬	bāotóulǎo
包頭	bāotóu
包頭	bāotóu
包養	bāoyǎng
匆促	cōngcù
匆	cōng
匆匆	cōngcōng
匆匆忙忙	cōngcōngmángmáng
匆忙	cōngmáng
匈奴	Xiōngnú
匈牙利人	Xiōngyálìrén
匈牙利	Xiōngyálì
匈牙利語	Xiōngyálìyǔ
匋	táo
匍	pú
匍匐	púfú
匏	páo
匏尊	páozūn
匏瓜	páoguā
匏繫	páoxì
匐	fú
匒	dá
匕首	bǐshǒu
化凍	huàdòng
化分	huàfēn
化	huà
化合價	huàhéjià
化合	huàhé
化合	huàhé
化合物	huàhéwù
化名	huàmíng
化名	huàmíng
化外	huàwài
化妝	huàzhuāng
化妝	huàzhuāng
化妝品	huàzhuāngpǐn
化妝室	huàzhuāng室
化妝水	huàzhuāngshuǐ
化妝舞會	huàzhuāng wǔhuì
化學傳導物質	huàxué chuándǎo wù質
化學元素	huàxué yuánsù
化學分析	huàxué fēnxī
化學劑	huàxuéjì
化學	huàxué
化學	huàxué
化學反應	huàxué fǎnyìng
化學家	huàxuéjiā
化學工業	huàxué gōngyè
化學工程	huàxué gōngchéng
化學平衡	huàxué pínghéng
化學式	huàxuéshì
化學性質	huàxué xìng质
化學成分	huàxué chéngfèn
化學戰	huàxuézhàn
化學方程式	huàxué fāngchéngshì
化學武器	huàxué wǔqì
化學物質	huàxué wù质
化學生物學	huàxué shēngwùxué
化學當量	huàxué dāngliàng
化學療法	huàxué liáofǎ
化學纖維	huàxué xiānwéi
化學肥料	huàxué féiliào
化學能	huàxuénéng
化學藥劑	huàxué yàojì
化學製劑	huàxué zhìjì
化學試劑	huàxué shìjì
化學變化	huàxué biànhuà
化學鍵	huàxuéjiàn
化州	Huàzhōu
化工	huàgōng
化工廠	huàgōngchǎng
化干戈為玉帛	huà gāngē wéi yùbó
化整為零	huàzhěngwéilíng
化油器	huàyóuqì
化濕藥	huàshīyào
化為	huàwéi
化為泡影	huàwéi pàoyǐng
化為烏有	huàwéi wūyǒu
化症回生片	huàzhèng huíshēng piàn
化痰	huàtán
化療	huàliáo
化石	huàshí
化石燃料	huàshí ránliào
化糞池	huàfènchí
化緣	huàyuán
化纖	huàxiān
化肥	huàféi
化育	huàyù
化腐朽為神奇	huà fǔxiǔ wéi shénqí
化膿	huànóng
化裝	huàzhuāng
化裝	huàzhuāng
化裝室	huàzhuāng室
化解	huàjiě
化身	huàshēn
化開	huàkāi
化險為夷	huà xiǎn wéi yí
化雨	huàyǔ
化雨春風	huàyǔchūnfēng
化驗劑	huàyànjì
化驗	huàyàn
化驗	huàyàn
化驗單	huàyàndān
北上	běishàng
北上	běishàng
北上廣	běishàngguǎng
北九州	Běijiǔzhōu
北也門	Běi-Yěmén
北二外	Běi Èrwài
北二高	Běi'èrgāo
北京人	Běijīngrén
北京	Běijīng
北京烤鴨	Běijīng kǎoyā
北京話	Běijīnghuà
北側	běicè
北元	Běiyuán
北冕座	Běimiǎnzuò
北冰洋	Běibīngyáng
北	běi,bò
北𣴓	Běijiàn
北區	běiqū
北半球	běibànqiú
北卡羅來納	Běi-Kǎluóláinà
北卡羅萊納	Běi-Kǎluóláinà
北史	Běishǐ
北周	Běizhōu
北回歸線	Běihuíguīxiàn
北國	běiguó
北塞浦路斯	Běi Sàipǔlùsī
北外	Běiwài
北大	Běidà
北大年	Běidànián
北大荒	Běidàhuāng
北大西洋公約組織	Běi-Dàxīyáng Gōngyuē Zǔzhī
北姑	běigū
北安	Běi'ān
北宋	Běi Sòng
北宮	Běigōng
北寄貝	běijìbèi
北寧	Běiníng
北岸	běi'àn
北島	Běidǎo
北嶽	Běiyuè
北川	Běichuān
北工大	Běigōngdà
北市	běishì
北師	Běishī
北師大	Běishīdà
北平	Běipíng
北廣島	Běiguǎngdǎo
北愛	Běi'ài
北愛爾蘭	Běi-Ài'ěrlán
北戴河	Běidàihé
北投	Běitóu
北斗七星	Běidǒu Qīxīng
北斗	Běidǒu
北斗星	Běidǒuxīng
北方	běifāng
北方玄武	Běifāng Xuánwǔ
北方話	běifānghuà
北朝	Běicháo
北朝鮮	Běi Cháoxiǎn,Běi Cháoxiān
北本	Běiběn
北杜	Běidù
北林	Běilín
北極	Běijí
北極圈	Běijíquān
北極星	Běijíxīng
北極海	Běijíhǎi
北極熊	Běijíxióng
北極狐	Běijíhú
北極貝	běijíbèi
北極點	Běijídiǎn
北欖	Běilǎn
北歐兩項	běi'ōu liǎng xiàng
北歐	Běi-Ōu
北江	Běijiāng
北沙參	běishāshēn
北河三	Běihésān
北河二	Běihé'èr
北河	Běihé
北洋	běiyáng
北洋政府	Běiyáng Zhèngfǔ
北洋軍閥	Běiyáng Jūnfá
北流	Běiliú
北海	Běihǎi
北海道	Běihǎidào
北涼	Běiliáng
北溪	Běixī
北漂	běipiāo
北漂	běipiāo
北漢	Běihàn
北燕	Běiyān
北狄	Běidí
北理	Běilǐ
北理工	Běilǐgōng
北瓜	běiguā
北疆	běijiāng
北疆	běijiāng
北票	Běipiào
北秋田	Běiqiūtián
北科	Běikē
北科大	Běikēdà
北端	běiduān
北管	běiguǎn
北約克	Běi Yuēkè
北約	Běiyuē
北緯	běiwěi
北美	Běiměi
北美洲	Běiměizhōu
北美馴鹿	Běi-Měi 馴lù
北航	Běiháng
北苑	běiyuàn
北茨城	Běicíchéng
北菇	běigū
北落師門	běiluòshīmén
北葉門	Běi-Yèmén
北見	Běijiàn
北角	Běijiǎo
北豆根	běidòugēn
北豆根片	běidòugēn piàn
北賽普勒斯	Běi Sàipǔlèsī
北達科他	Běi-Dákētā
北邊	běibiān
北邙	Běimáng
北邙山	Běimángshān
北部	běibù
北部灣	Běibù Wān
北部非洲	Běibù Fēizhōu
北郵	Běiyóu
北都尉	běi dūwèi
北門	běimén
北非	Běifēi
北面	běimiàn
北面	běimiàn
北韓	Běihán
北領地	Běilǐngdì
北馬里亞納群島	Běi Mǎlǐ亞nà Qúndǎo
北體	Běitǐ
北體大	Běitǐdà
北魏	Běiwèi
北鼻	běibí
北齊	Běiqí
匙	chí
匙	shi
匙子	chízi
匜	yí
匝加利亞	Zājiālì亞
匝	zā
匝瑳	Zācuō
匠人	jiàngrén
匠	jiàng
匠心	jiàngxīn
匠石	jiàngshí
匡助	kuāngzhù
匡君救主	kuāng jūn jiù zhǔ
匡復	kuāngfù
匡扶	kuāngfú
匡時	kuāngshí
匡時濟世	kuāngshíjìshì
匡正	kuāngzhèng
匡濟	kuāngjì
匡算	kuāngsuàn
匣	xiá
匣子	xiázi
匤	qū
匧	qiè
匪	fěi
匪幫	fěibāng
匪徒	fěitú
匪穴	fěi穴
匭	guǐ
匯兌	huìduì
匯兌	huìduì
匯入	huìrù
匯劃	huìhuà
匯劃	huìhuà
匯合	huìhé
匯報	huìbào
匯款	huìkuǎn
匯款	huìkuǎn
匯水	huìshuǐ
匯	huì
匯流排	huìliúpái
匯演	huìyǎn
匯率	huìlǜ
匯率風險	huìlǜ fēngxiǎn
匯票	huìpiào
匯編語言	huìbiān yǔyán
匯總	huìzǒng
匯總	huìzǒng
匯聚	huìjù
匯豐	Huìfēng
匯集	huìjí
匱乏	kuìfá
匱乏	kuìfá
匱乏	kuìfá
匱	kuì
匸	xì
匹夫	pǐfū
匹敵	pǐdí
匹敵	pǐdí
匹茲堡	匹zībǎo
匹諾曹	Pǐnuòcáo
匹配	pǐpèi
匹配	pǐpèi
匹馬	pīmǎ
匽	yǎn
匾	biǎn
匾額	biǎn'é
匿	nì
匿	tè
匿名	nìmíng
匿名	nìmíng
區位	qūwèi
區分	qūfēn
區別	qūbié
區別	qūbié
區別開來	qūbié kāilái
區劃	qūhuà
區劃	qūhuà
區	ōu
區	qū
區區	qūqū
區區	qūqū
區區	qūqū
區域	qūyù
區域研究	qūyù yán究
區域經濟學	qūyù jīngjìxué
區域網路	qūyù wǎnglù
區域自治	qūyù zìzhì
區時	qūshí
區畫	qūhuà
區隔	qūgé
區隔	qūgé
十一	shí一
十一	shí一
十一味能消丸	shíyīwèi néngxiāowán
十一月份	Shíyīyuèfèn
十一月	Shíyīyuè
十一點	shí一diǎn
十七	shíqī
十三	shísān
十三味榜嘎散	shísānwèi bǎnggā sǎn
十三恐懼症	shísān kǒngjùzhèng
十三行	Shísānháng
十三陵	Shísānlíng
十三點	shísāndiǎn
十三點	shísāndiǎn
十九	shíjiǔ
十九	shíjiǔ
十二分	shí'èrfēn
十二	shí'èr
十二味翼首散	shí'èrwèi yìshǒu sǎn
十二宮	shí'èrgōng
十二律	shí'èrlǜ
十二指腸	shí'èrzhǐcháng
十二指腸潰瘍	shí'èrzhǐcháng kuìyáng
十二支	shí'èrzhī
十二星座	shí'èr xīngzuò
十二月份	Shí'èryuèfèn
